PROJECT_NM,PRJCT_TYPE,CLOSR_IND,CLOSR_DT,CLOSR_TYPE,SITE_LOC,ST_DESC,LATITUDE,LONGITUDE
SUMMIT SEEKERS SNOWMOBILE TRAILS,RTR - Recreation Trail,Y,20210813,,PRINCETON,This large snowmobile trail system is managed under a Trails with No fees management agreement with the Summit Seekers Snowmobile Club.  Trails are not groomed with any traditional motorized large groomer but rather with the use of snowmachines and occasionally when snow levels permit a pull behind grommer.  This large extensive trail network is supported by 2 emergency shelters named the Frog Hollow Emergency Shelter and the Placer Mountain Emergency Shelter.,49.368216,-120.581895
CAROL LAKE,SIT - Recreation Site,N,,,LILLOOET,"The recreation site is popular for fishing boating and wildlife viewing activities. The site can be accessed by small motorhomes.",50.860706,-122.467684
BURNELL LAKE,SIT - Recreation Site,N,,,OLIVER,The Burnell (Sawmill) Lake Recreation Site is a high use site popular for fishing and camping. The lake is popular for a day's outing of fly fishing-only for trout. A pleasant lake to relax with family.,49.2087,-119.618561
NARROW LAKE EAST,SIT - Recreation Site,N,,,PRINCE GEORGE,This small site is situated at the east end of the lake and provides basic amenities and natural camping pads. There is a gravel boat launch for the avid angler. Recent heavy rains have washed out a portion of the in-site access road limiting access to 4 wheel drive only. No immediate repairs are anticipated.,53.558404,-121.854967
Dinamal-Yodas Playground,RTR - Recreation Trail,N,,,WHISTLER,,50.103676,-123.001384
HORSESHOE LAKE,SIT - Recreation Site,N,,,NAKUSP,"You will often have this quiet little lake all to yourself. Although it is known for good fishing it is often eclipsed by Wilson Lake. From the road side recreation site near the bridge one looks across the lake to a small island. A perfect lake to put your canoe into for a paddle and a bit of fishing. This is also a good base camp for exploring the forestry roads beyond by ATV or bike.",50.248401,-117.663101
CRESCENT LAKE,SIT - Recreation Site,N,,,PEACHLAND,"Crescent Lake a small 30 hectare lake is located on the road to Whitehead (just west of Headwater Lake). Good rainbow trout fishing. Spring and fall  are the best times to fish Crescent either with flies or by trolling small lures and spinning gear. Located at the lake is 5 recreation campsites with a cartop boat launch.",49.81024,-120.074137
CHASE CREEK,SIT - Recreation Site,N,,,FALKLAND,"This is a small open site with good fishing opportunities and excellent access.",50.604358,-119.641839
STARVATION LAKE,SIT - Recreation Site,N,,,SQUAMISH,,49.902467,-123.1733
Steed Hut,SIT - Recreation Site,N,,,CASTLEGAR,"Full details found here :https://kootenaymountaineeringclub.ca/huts/the-steed-hut/",49.346158,-117.447668
SASKUM LAKE,SIT - Recreation Site,N,,,BARRIERE,"Saskum Lake Recreation Site has a nice sandy beach at the site and is an ideal location for  water activities such as canoeing kayaking and fishing.Please use the site responsibly. As per the Recreation Regulations;Camping is limited to a maximum of 14 consecutive days per visit.No reserving or holding of campsites no unoccupied trailers tents chairs vehicles may save a site or reserve it for others. All sites are first come first serve.Camping is only permitted in the designated camping spots.All dogs must be on a leash at all times (for all Kamloops Recreation Sites).Interested in becoming a Site Operator? Submit your interest here.",51.400785,-119.695418
LIGHTNING LAKE,SIT - Recreation Site,N,,,MERRITT,This remote open and sunny recreation site is located on the northern shore of Lightning Lake and the recreation site is primarily used for fishing hunting camping and snowmobiling. The small site is best suited for truck campers and tenters as the access road is somewhat rough especially as you near the campsite.,49.967428,-121.191329
ONE EYE LAKE,SIT - Recreation Site,N,,,TATLA LAKE,"The close proximity of this recreation site to Hwy 20 makes it a popular camping and fishing destination for the region.",51.966526,-124.911638
Armstrong Chalet,SIT - Recreation Site,N,,,VERNON,This cabin is part of the Vernon Snowmobile Trails as a winter shelter from the elements.,50.450526,-119.055027
SUEY/SLATE BAY TRAIL,RTR - Recreation Trail,N,,,HORSEFLY,"A unique trail that connects Horsefly Lake to Quesnel Lake therefore the trail heads are boat access only.Trail traverses through some remnant old growth Cedar Valley before it exits out to Quesnel Lake.",52.454109,-120.877946
GETHING CREEK,SIT - Recreation Site,N,,,HUDSON'S HOPE,This site has 5 individual camp pads and a large group campsite at the entrance to the site.  This site also has a small dinosaur trackway in the creek adjacent to the campsite.,55.979548,-122.310323
TACHEEDA LAKES NE,SIT - Recreation Site,Y,20210818,,BEAR LAKE,"This site is located at the farthest (North) end of Tacheeda Lakes adjacent to the main road. The site is not well sheltered from the winds off the lake. The basic amenities are provided at this site.  This side of the lake has a gravel boat launch and the other side of the lake has a new concrete boat launch.",54.729659,-122.505541
HARMON LAKE,SIT - Recreation Site,N,,,MERRITT,"This site has been recently improved (June 2017)to reduce the conflict between public recreationalists and range cattle.  The entire camping site is now enclosed with new fencing and cattle guards.A New 36' floating dock has been installed at the boat launch to improve access to the lake and provide additional shoreline fishing opportunities. This wonderful campsite has all sizes of gravelled camping pads so motorhomes to tents can be accommodated and has a great well developed boat launch and parking area.  Horse shoe pits are also on site.  A great family environment with a 24 - 7 site host. Located in the beautiful Kane Valley this very popular recreation site is used by all types of outdoor recreationalists. The nearby Harmon Lake Forest Interpretive Trail allows hikers to walk on the southeast side of Harmon Lake and learn about forestry and wildlife.  The adjacent 50+ kilometres of the Kane Valley cross country ski trails can also be explored all year round. On occasion there are weekend interpretive shows at the outdoor amphitheatre. ",49.97339,-120.699744
LITTLE ESPINOSA,SIT - Recreation Site,N,,,ZEBALLOS,A single site close to Zeballos used primarily by locals for day-use activities. A scenic little spot at the end of Little Espinosa Inlet - calm water for paddling flanked by steep rocky slopes on the north side.,49.957579,-126.866892
Corbin Creek,RTR - Recreation Trail,N,,,FERNIE,Seasonal trails for snowmobile use.  Managed under agreement with the local snowmobile club.  Trail fees are in effect when the trails are groomed.  Visit https://ferniesnowmobile.com/ for more information about this and other local riding areas.,49.515873,-114.67149
MITCHELL LAKE TRAIL,RTR - Recreation Trail,N,,,CRANBROOK,This trail is an easy family hike to a small forested lake in the Hughes Range.  The first part of the trail follows a skid road across a logged area then enters the forest.  The trail slips through a narrow slot between Mount Patmore and an unnamed peak to the northwest along side the outlet stream to the edge of the lake.  The dense forest and steep slopes that come right down to the edge of the water restrict the views from the lakeshore trail.  Anglers will appreciate the cold water and solitude of this lake.,49.651827,-115.420683
KANE VALLEY CROSS COUNTRY SKI PARKING AREA,SIT - Recreation Site,N,,,MERRITT,"This is the location of the day-use parking area for the Kane Valley Cross-country Ski Trails commonly called P3. There is a picnic shelter and outhouse and kiosk with trail map.  From here one can access the trails in many directions. The trails and parking area are managed in partnership with the Nicola Nordic Ski Club in Merritt. There is no camping allowed here. If you would like to camp please visit the nearby Kane Lake and Harmon Lake East and West Recreation Sites only 4 kilometres further down the road.  In winter the trails are used primarily for cross-country skiing. In summer the trails are used for hiking mountain biking and horseback riding. ",50.004244,-120.657922
AMOR LAKE,SIT - Recreation Site,N,,,CAMPBELL RIVER,This site has 2 parts: 4 units south of the creek under the trees and 1 unit north of the creek by the boat launch.  It has the only boat launch access to Amor Lake. It is a great lake to explore with lots of small sandy beaches and rocky islets.  It is part of the Sayward Forest Canoe Route chain of lakes.,50.157993,-125.580808
JUNE CREEK,RTR - Recreation Trail,N,,,PENTICTON,,49.497426,-119.84682
Okanagan Vista,RTR - Recreation Trail,N,,,PENTICTON,A set of trails for snowshoeing and enjoying the winter trails.,49.386453,-119.944779
PUNCHAW LAKE,SIT - Recreation Site,N,,,PRINCE GEORGE,This site offers camping and access to the lake.  The site is sheltered by mature timber and provides basic amenities of 2 pit toilets tables and fire rings. The site is accessible by 4 wheel drive vehicles only.,53.42557,-123.035531
PETE LAKE,SIT - Recreation Site,N,,,ROCK CREEK,Pete Lake Recreation Site sits at about +/- 1227m in elevation in a range of Mountains between Beaverdell and Christian Valley which is North of Westbridge. There are 4 nice campsites along a lake loop road.,49.359846,-118.963229
MT. HENNING WARMING HUT,SIT - Recreation Site,N,,,MERRITT,"A rustic fully enclosed warming hut for use by snowmobilers using the Mt. Henning and 10 k Area Snowmobile Trail. This hut is maintained by the Coquihalla Summit Snowmobile Club so please take all garbage away after use and respect this facility. No fees to use the hut but fees are applicable to use the snowmobile trails accessing this hut during the snowmobile season.   This snowmobile emergency cabin is located on Mount Henning and is accessed via the snowmobile trail leading up from the gas pipeline near the 0 km Tulameen Parking Lot. The cabin is intended for emergency use only and not for overnight recreational stays.   An avalanche terrain and trail map with a danger rating system is located within the cabin to advise snowmobilers of the types of avalanche terrain that exists nearby.",49.638492,-120.962662
MORIN LAKE,SIT - Recreation Site,N,,,SMITHERS,This small forested site is perfect for tenting and fishing.   A spectacular view of the Babine Mountains.  This Recreation Site has a boat launch and dock with 3 campsites and a day-use site.   Access may be prohibitive for large RVs and trailers due to tight spaces within the Site.,54.984299,-126.768972
SHERMAN LAKE TRAIL,RTR - Recreation Trail,N,,,CRESTON,This 2.3km trail leads to a beautiful sub-alpine lake. The site offers primitive camping hiking fishing swimming and nature study opportunities.,49.413313,-116.59843
AMOR LAKE NORTH,SIT - Recreation Site,N,,,CAMPBELL RIVER,Boat in access site located just north of the Sayward Forest Canoe Route on Amor Lake.  There is a small shelter to get out of the weather and a beautiful sandy beach.,50.182179,-125.55408
DESOUS MOUNTAIN,SIT - Recreation Site,N,,,WILLIAMS LAKE,Desous Mountain is a popular mountain biking area located 30 minutes south of Williams Lake.  The site has room for parking a toilet and change room building and provides 8 camping sites with tables and fire rings.,51.973388,-122.1942
MARA SNOWMOBILE TRAIL,RTR - Recreation Trail,N,,,SICAMOUS,,50.828527,-118.842245
DORSEY LAKE,SIT - Recreation Site,N,,,LIKELY,"Small 3 unit remote rec site with a tough access. The road is suitable for 2 wheel drive but ground clearance is a must.Used primarily for fishing and has a small car topper boat launch",52.458928,-121.798705
ORE MTN. TR.,RTR - Recreation Trail,N,,,STEWART,A moderate to difficult 4 km. (2.5 mile) trail that climbs steeply up along the east side of the Bear Riiver valley.  After 3 km (2 miles) the trail starts to break out of heavy timber and a viewpoint overlooking the valley is reached.  The trail then continues for another km (0.6 miles) through sub alpine terrain to a small alpine lake.,56.052151,-129.896186
BRANDYWINE SNOWMOBILE TRAIL,RTR - Recreation Trail,N,,,WHISTLER,"This snowmobile trail is managed by the Province through a partnership agreement with the Powder Mountain Snowmobile Club.  All snowmobiles must pay the fee.Moderately difficult snowmobile route to the Pemberton Ice cap also leads to extreme avalanche terrain. Beware of avalanche hazards know the snow know the conditions. Always check the avalanche bulletin before you go out. Never go into the backcountry without an avalanche transceiver with fresh batteries proper rescue equipment and the skills to use them and never go out alone!Please see photos to get an idea of the avalanche hazardLarge plowed parking lot with loading ramps for your convenience please pay fees before parking. This route is approx. 9 km of groomed trail. Both the lot and trail are maintained in cooperation with Powder Mountain Snowmobile Club and Blackcomb Snowmobiles Ltd. As of 2016 the end of the trail has been re-routed uphill and into the trees to avoid terrain trap in Avalanche Alley. Use caution and travel one at a time across avalanche paths.",50.06179,-123.113559
LARCHWOOD LAKE,SIT - Recreation Site,N,,,SKOOKUMCHUCK,"This small lake is busy in the summer months.  The sunny open campsites provide scenic lake views.  Great spring time fishing conditions-check the fishing regulations for specifics.  A fee for camping is in effect at Larchwood Lake.  Campsites can not be reserved they are available on a first-come-first-served basis. An operator is on site to maintain the site and collect fees.  Most sites can accommodate trailers.    Motorized vehicles including ATV's and dirt bikes are permitted on the gravelled roads and sites only.  Off-road vehicles are to use areas outside of the Larchwood Lake Recreation Site.  ",49.953417,-115.795309
EDWARDS LAKE,SIT - Recreation Site,N,,,GRASMERE,"This is a small shallow lake fed at the north end by a picturesque shaded stream with moss covered rocks. The north end of  the lake has marshy edges which attract herons and waterfowl and make this lake a good bet for bird-watching. The remainder of the lake is surrounded by mature Douglas Fir and Spruce forest. There are two shaded sites near the stream and one open site in a meadow site on the lakeshore. This lake is very popular with fishermen and there is also private property along the shoreline.Electric motors only.",49.09889,-115.102998
JACQUES LAKE,SIT - Recreation Site,Y,20210714,,HORSEFLY,"Medium size rec site along Jacques Lake with numerous level campsites just off of the lake shore. The first 3 sites are in a large open area suitable for a larger group the rest are tucked into the trees along the shoreline. Boat launch is small but open to trailers.",52.469834,-121.118492
SPOKEY HOLLOW TRAIL,RTR - Recreation Trail,N,,,WILLIAMS LAKE,NOTICE: Several sections of the Spokey Hollow Trail system lead into Williams Lake River Valley. These sections are closed due to local state of emergency and terrain stability issues in the river valley and adjacent slopes.  Please follow detour signs from Spokey Hollow back into Williams Lake.  This Detour crosses private property. Please keep dogs on leash at all times and stay on main road.  **** The Spokey Hollow Trail Network is within an active Cattle Range please ride without your dogs. If you need to take your dog with you please consider the Fox Mtn trails*****,52.109381,-122.211829
KIMTA CREEK,SIT - Recreation Site,N,,,MACKENZIE,"This is a small site adjacent to the main FSR at the Kimta Creek bridge. It provides parking and access to the Kimta trail. The Kimta trail follows the ridge up to the highest peak. The trail is ~8kms with more than a 1000m ascent.*** PLEASE NOTE THE FOLLOWING ***The site is open but the trail is closed due to impact by mountain pine beetle.",55.672046,-123.445046
PASKA LAKE,SIT - Recreation Site,Y,20210812,,LOGAN LAKE,"Please use the site responsibly. As per the Recreation Regulations;Camping is limited to a maximum of 14 consecutive days per visit.No reserving or holding of campsites no unoccupied trailers tents chairs vehicles may save a site or reserve it for others. All sites are first come first serve.Camping is only permitted in the designated camping spots.All dogs must be on a leash at all times (for all Kamloops Recreation Sites).Interested in becoming a Site Operator? Submit your interest here.",50.525508,-120.657659
EAGLE EYE LOOKOUT,RTR - Recreation Trail,N,,,KAMLOOPS,"The Eagle-eye lookout Trail is a short uphill hike (approximately 1 km) that leads to an old Forestry lookout. On clear days the lookout provides great views of the surrounding area.",50.838457,-120.407856
GOAT LAKE,SIT - Recreation Site,N,,,POWELL RIVER,A small site on the shores of a Goat Lake.  This is at the end of the most difficult and last portage of the Powell Forest Canoe Route.,50.027532,-124.292424
Meadow Mountain,SIT - Recreation Site,N,,,KASLO,Meadow Mountain provides access to an alpine ridge open alpine meadows and the several small alpine lakes. This site offers an excellent snowmobiling in the winter and viewpoint of outlying ice fields and ridge systems.,50.232516,-117.09784
HAYWARD LAKE TRAIL,RTR - Recreation Trail,N,,,MISSION,"Enjoy a scenic hike on this moderately rated trail around both sides of Hayward Lake along the Reservoir trail and Railway trail totalling 19 km. The Reservoir trail is approximately 10 km long on the east side of the lake depending on the starting point and connects with the 8 km long Railway trail on the west side of the lake. The Railway trail offers both hiking and biking opportunities. Along the trails you will encounter stunning ravines and waterfalls.Please check the BC Hydro website recreation section for trail closures at the Hayward Dam/Hairsine Inlet.",49.20167,-122.37982
Wolf Lake,SIT - Recreation Site,N,,,WEST HARRISON,"A favourite small campsite situated next to Wolf Lake.  Enjoy this secluded group site for your family or group gatherings.  A dock is available for those who enjoy fishing.  The whole recreation site can be reserved as a group site or on a first-come first-served basis when not reserved.  For campers without reservations you are encouraged to inquire at the Chehalis River Recreation Site for availability.  For complete reservation payment and site information visit www.westharrisonreservations.com. There is a locked gate with no on-site supervision. This is a CASH ONLY site with fees being collected accordingly.All visitors are required to exit the site by 10:30 PM as gates are locked at 11:00 PM and will remain closed until 7:00 AM.NOTE: This site is open year-round.",49.327918,-121.859999
DRISCOLL RIDGE TRAIL,RTR - Recreation Trail,N,,,MCBRIDE,Driscoll has undergone a name change in addition to recently being designated a BC Provincial Park.  For more information please visit Ministry of Environments website: http://www.env.gov.bc.ca/bcparks/explore/parkpgs/ancient-forest/,53.794663,-121.275919
WHITEHEAD LAKE,SIT - Recreation Site,N,,,PEACHLAND,"This recreation site (one campsite) is on a high elevation lake with boat launch facilities and good rainbow trout fishing.",49.791033,-120.186298
CRYSTAL LAKE,SIT - Recreation Site,N,,,PRINCE GEORGE,This site provides three DAY-USE only areas along the edge of the lake. Each site offers the basic amenities of 2 tables 2 fire rings and 1 pit toilet. Designated parking areas provide parking for a maximum capacity of 3 vehicles per site. Access is walk in only from the parking area to the day-use site.  At site #1 there is access to unload your canoe kayak or small aluminum boat with a maximum walking distance from the unload area to the lake of 10 meters. Use of an electric motor is recommended on this lake to protect the water quality. The water from this lake feeds a natural spring along the highway and people drink this water on a regular basis. The lake is stocked with rainbow and brook trout both of which can grow to an impressive size in this cool deep lake.,54.420701,-122.614975
Moonraker,RTR - Recreation Trail,N,,,GOLDEN,"The Moonraker Trail network has a variety of single track for all cyclists hikers and trail runners. The network meanders on a bench above Golden around lakes and ponds with stunning views of the Purcels and Canyon Creek at the far south end. Please visit the Golden Cycling Club for trail maps and more information. https://goldencyclingclub.com/",51.310647,-116.994491
FRANCOIS WEST,SIT - Recreation Site,N,,,HOUSTON,This Site has 3 camping units and a boatlaunch.   Fishing is the most popular activity here.,53.973347,-126.50042
Three Blind Mice,RTR - Recreation Trail,N,,,NARAMATA,"Nearly 100 km of Mountian Bike trails located outside of Penticton and near Naramata BC.Bike Penticton for more information and trail maps.",49.589235,-119.536443
MORTE LAKE TRAIL,RTR - Recreation Trail,N,,,QUADRA ISLAND,The hike to Morte lake will take approx. 30mins with an option for a longer loop hike that would add an additional 1-2hrs.,50.132749,-125.296682
